,gender,age,age_o,d_d_age,race,race_o,samerace,d_importance_same_race,d_importance_same_religion,field,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,match
0,0,21.0,27.0,2,3,0,0,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,0,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.14,0
1,0,21.0,22.0,0,3,0,0,1,1,1,2,0,0,2,0,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.54,0
2,0,21.0,22.0,0,3,3,1,1,1,1,1,1,1,1,0,0,2,2,2,2,2,2,0,1,1,0,0,0,1,1,1,1,1,0,1,2,1,0,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.16,1
3,0,21.0,23.0,1,3,0,0,1,1,1,2,0,0,2,0,0,1,1,2,1,2,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.61,1
4,0,21.0,24.0,1,3,1,0,1,1,1,2,0,1,0,0,1,1,1,2,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.21,1
5,0,21.0,25.0,2,3,0,0,1,1,1,2,0,2,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,2,1,0,1,0,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.25,0
6,0,21.0,30.0,3,3,0,0,1,1,1,2,0,2,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.34,0
7,0,21.0,28.0,3,3,0,0,1,1,1,2,0,2,0,0,0,1,1,1,1,1,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,0.28,1
8,0,21.0,24.0,1,3,0,0,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,2,1,2,0,1,2,0,0,0,0,0,1,2,0,2,2,2,1,0,-0.36,0
9,0,24.0,27.0,1,0,0,1,1,1,1,2,1,1,1,0,0,1,1,1,2,1,0,2,0,2,1,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,1,2,1,1,0,0,1,2,0,2,1,1,1,0,0,0.29,0
